,s,sa_prophet,sa_stl,sa_camplet,sa_sts,sa_ts0,sa_ts,sa_x11,sa_x13
Mar-03,61936,57719.27345,58661.79181,59053.13285,58708.44074,57646.79458,58963.4624,57726.37607,59039.82216
Apr-03,61407,59653.57662,60587.84321,59145.6544,59868.70351,60506.15009,59817.38434,60448.37409,59793.62564
May-03,65175,61216.91354,61403.35492,59195.08313,60109.05343,61220.31525,59893.09756,60536.88308,59776.18136
Jun-03,63506,59127.87005,60549.05414,57858.59933,61057.38005,60077.71686,60672.50322,60399.24777,61167.9764
Jul-03,67003,63221.06363,60751.49651,59889.86759,61478.40847,62391.08676,61071.06981,61934.75316,60802.01441
Aug-03,66961,61607.97223,60535.97894,57184.32702,62452.44383,61457.29211,61790.37458,61580.10312,62157.55138
Sep-03,60475,61988.33024,61784.77273,62066.64433,61342.29963,61990.36565,61048.52406,61795.46174,61525.83382
Oct-03,58185,58980.58884,59925.52325,59805.2488,59078.03611,59727.29279,59564.20092,60394.95609,59472.01303
Nov-03,53161,59074.81255,59651.28266,59595.03132,61229.82099,59171.71237,61567.04512,59260.9623,61879.36419
Dec-03,57844,61743.4161,60453.99528,62086.92467,60448.95371,61188.43887,60613.27316,60645.29957,59953.94007
Jan-04,53015,59833.52658,60256.17813,59239.28149,58901.64312,59346.20935,58993.87522,59472.59277,59418.0248
Feb-04,56227,60640.11558,61638.41827,61311.43032,62223.948,60461.77662,59801.01049,61162.52354,60080.34018
Mar-04,66809,61746.40091,62532.20645,63232.06264,60929.01654,62260.28818,61172.15977,62227.86797,61278.59945
Apr-04,61244,60010.34105,60325.19183,60156.89286,59388.60012,60324.00717,59216.41433,60262.1994,58983.07583
May-04,65321,60764.08933,61613.81808,60499.3866,62226.74567,61377.23338,62275.21949,60481.46176,62317.89678
Jun-04,62911,59126.9159,58929.4761,59667.90949,59184.22259,59477.06119,58673.07421,59969.27225,59266.51075
Jul-04,66732,62361.67711,59226.14049,59772.82961,60556.10212,61797.11991,60970.03627,61321.15321,60438.9368
Aug-04,65295,60700.89456,59379.52033,57871.57407,60675.72732,59707.30922,60474.49924,59593.30137,60439.69662
Sep-04,63612,64731.87056,64665.37985,62428.03556,64809.07632,65138.97433,64196.22172,65302.68797,64836.55959
Oct-04,59010,60347.38367,63558.288,60636.14598,62749.79393,61200.59173,63393.89964,61656.79806,63146.09574
Nov-04,56288,62135.46108,63336.14055,62603.70463,62310.1969,62479.99415,62694.73676,62798.2814,62872.03828
Dec-04,62805,67482.40158,64712.40928,64319.96736,65024.16941,65771.90447,64573.09828,65145.47472,64049.90523
Jan-05,53605,60175.77818,61135.12548,60307.42671,61594.33335,60027.7295,61658.28056,60320.27173,62384.18726
Feb-05,57514,62178.65885,62739.66873,61861.19324,61934.34216,61825.69281,62693.36215,62406.75936,62036.56805
Mar-05,68146,63155.27621,62543.89875,62953.87093,62412.07152,63358.68592,62033.29148,62967.77906,61886.49979
Apr-05,64670,63186.3573,63964.32991,63800.03126,62794.05358,63715.56156,62947.97253,63746.24026,62749.95195
May-05,65526,61151.20207,61521.46158,62213.96831,62579.95241,61565.47571,62276.0451,60538.9596,62324.07412
Jun-05,71701,67177.55253,67420.7872,69831.49401,67336.7439,68245.2247,66558.06784,68949.6643,67694.36623
Jul-05,75408,70696.60727,68460.54611,70335.47046,70347.22177,70314.71751,71453.67859,70176.84048,70949.30892
Aug-05,69027,63948.23211,63264.20001,66339.68415,62000.85203,63270.99389,62155.36799,63046.59939,62081.954
Sep-05,58912,60095.11564,60280.06263,60754.84598,59831.48354,60569.03745,59842.82378,60660.42833,60226.39947
Oct-05,53641,54694.73141,58556.60986,59330.9629,57411.0604,56295.08893,57986.7919,56604.49187,57404.49829
Nov-05,55136,60999.47368,61982.69685,62516.11813,61648.43095,61466.99172,61603.26561,61961.45671,61530.74617
Dec-05,60918,65310.39221,62833.34164,62412.89694,62804.67565,63676.44912,62556.83045,63120.84972,62067.37262
Jan-06,56524,63566.48801,63873.17987,63557.39255,64676.66474,62883.87529,64469.05054,63296.5221,65306.03513
Feb-06,57647,62273.22551,62357.77976,62101.90317,62250.42486,61946.7364,62713.83016,62221.27942,62139.71626
Mar-06,70031,65081.89169,63970.78398,63489.32861,63638.3964,65082.52859,63198.4351,64502.27028,63083.12755
Apr-06,63423,61790.11328,62651.19981,61500.24827,63852.06509,62430.47197,63757.36452,62564.93425,63606.03118
May-06,67753,63433.53252,63321.96268,63113.92683,62602.84552,63740.20408,62397.6462,62703.03172,62402.29568
Jun-06,67090,62660.82024,63160.54613,62689.01104,62880.73982,63837.59354,62649.83315,64474.92118,63437.65927
Jul-06,68417,64348.74901,62578.84198,61033.61102,63983.67317,63515.11439,65122.23378,63690.82498,64784.03175
Aug-06,70621,65199.31876,64324.44295,65232.33327,63367.62606,64688.83712,63589.69818,64320.16379,63494.63166
Sep-06,62079,63479.28713,63890.44066,64473.8605,63269.67948,63797.32012,63847.53653,63777.20026,64499.92914
Oct-06,59702,60695.85067,64253.07632,66107.12277,63931.28357,62435.65486,63992.44303,62718.25391,63437.84669
Nov-06,57426,63673.90221,64298.11403,64809.0367,64176.77876,63793.13287,63629.23363,64362.84606,63604.86357
Dec-06,61160,65425.83359,63679.63428,63401.85293,65156.48364,63784.08249,64860.72145,63525.78934,64509.79789
Jan-07,57107,64337.07821,63474.52956,63955.82476,63364.77174,63319.64246,62842.43443,63840.28031,63622.97396
Feb-07,59878,64630.99889,63890.61206,64569.71826,64662.73504,64096.45823,65130.55178,64026.24729,64448.12723
Mar-07,70858,66033.84587,65205.31808,64103.36114,64220.63508,65878.88657,64089.77989,65210.36718,63856.36333
Apr-07,64477,62635.91545,63467.22978,63566.14099,64344.34928,63411.54485,64302.8575,63479.25318,64095.01102
May-07,70582,66295.5457,65835.95185,65317.45158,65371.91002,66550.00374,64851.44161,65836.61746,64795.36682
Jun-07,66050,61496.48563,63154.26172,62568.39739,62315.26902,63098.60755,62815.91022,63634.1545,63300.55822
Jul-07,66271,62530.38085,61872.71729,61112.98735,62423.25293,61656.02511,63338.14515,61908.43955,62844.04999
Aug-07,71423,65713.26892,64469.15096,63989.02254,63247.12067,65396.97175,64171.11039,64904.50231,64229.70714
Sep-07,62471,64034.27827,64229.74723,63655.90631,66146.33353,64219.67353,66793.17306,63994.87161,67487.73718
Oct-07,62908,63768.16848,66347.72752,66336.14619,65341.41881,65572.18967,64745.06585,65910.42337,64516.37309
Nov-07,57284,63656.46925,64251.26004,63916.43663,63688.55807,63664.82868,63127.92128,64211.32123,63198.99575
Dec-07,59151,63138.5244,62025.38478,62302.83339,62847.43605,61620.99295,62552.27791,61602.55648,62375.60018
Jan-08,56364,63613.25837,62311.50296,63414.92091,62761.8233,62393.78418,61593.31863,62991.48769,62278.49943
Feb-08,58749,63360.061,62846.48153,63470.09343,62948.37617,62886.64994,60119.20559,62590.3605,60543.83238
Mar-08,64468,59582.79534,59287.81836,59447.97281,60348.83624,59548.11548,60277.44881,58941.21743,60190.72878
Apr-08,60920,59692.86749,59697.65412,61097.56222,59444.82205,59735.08401,58986.95726,59760.3706,58814.96918
May-08,62226,57885.00211,58073.6487,58367.3841,57068.20976,58284.61851,57180.00784,57827.64507,57126.99419
Jun-08,56338,52949.28054,53907.36016,56261.44549,54904.03805,53579.28207,55279.92317,54125.67134,55570.13573
Jul-08,56743,53026.86334,52572.90328,55580.83272,52299.14827,52244.45486,52562.02683,52620.99779,52283.14419
Aug-08,57930,53854.09024,51253.62659,52433.82179,52555.50181,51862.78184,54499.9778,51225.77098,54493.1201
Sep-08,50292,51177.37587,52254.692,52542.09893,51439.33054,52114.64889,52311.54957,51645.70515,52451.6528
Oct-08,45036,46056.68143,47853.90993,48861.85589,46747.20805,47664.98148,45916.51327,47867.73589,45769.52843
Nov-08,39328,43413.57684,45917.42937,47060.49082,45612.25085,45713.76702,45247.37612,46255.10671,45258.78355
Dec-08,43622,46870.7479,45820.85566,47266.91118,45013.85325,45893.96538,44441.67123,46168.41392,44370.92036
Jan-09,42021,47171.83798,47848.04543,47654.92291,46159.50686,47946.83307,45833.53447,48626.97535,46300.52069
Feb-09,41853,45247.47729,45976.28673,45159.99074,45426.65158,46046.81583,45631.80694,45468.13018,45007.75919
Mar-09,47070,43622.79299,41937.91292,42221.6576,44106.12546,42220.23951,43777.89774,41665.03735,43609.7755
Apr-09,45579,44533.33817,44215.92011,43233.43741,44284.88017,44342.55127,43897.36381,44210.35954,43774.0837
May-09,46809,43683.82959,42821.53694,41418.32248,44509.12429,43052.19958,44574.26721,42720.39343,44505.65133
Jun-09,48608,45541.43559,46385.68376,46608.92572,45978.96165,45966.62732,46273.45082,46605.02184,46570.82261
Jul-09,51521,48302.03563,47482.64513,47437.75186,47120.27842,47043.89958,47372.18842,47491.58531,47492.63204
Aug-09,56214,52077.96833,49831.68791,48276.83418,50563.37,50192.78863,53040.38493,49537.62127,53128.19991
Sep-09,42644,43500.40928,44623.16217,42848.10294,44485.01169,44544.07072,44702.11219,43774.04253,44595.06932
Oct-09,45677,46574.28546,48340.07395,48315.51117,47107.00274,48234.53914,46719.71995,48444.54039,46566.64811
Nov-09,41738,46176.65468,48207.95788,48641.67631,48017.86076,48007.60275,47569.64792,48641.07353,47601.08262
Dec-09,47176,50577.5479,49124.9262,49301.35325,48751.88293,49169.86777,47821.05807,49596.04489,47780.44115
Jan-10,42286,47554.53457,48035.16436,47006.64399,48177.00181,48157.40132,47828.30437,48930.26757,48188.21469
Feb-10,43549,47043.84786,47672.13605,46846.00898,47518.40481,47800.55743,47638.13005,47031.06856,46874.42654
Mar-10,56516,52522.00013,51481.46929,52397.60313,51180.91508,51606.23484,50691.42893,51322.91228,50668.81433
Apr-10,52947,51583.82807,51525.61528,51225.97028,50942.81672,51652.51514,50808.9569,51440.41394,50784.54099
May-10,54093,50644.40061,50223.16468,50381.31697,51268.26237,50440.41522,51469.93075,50165.52385,51457.49508
Jun-10,52967,49470.19922,50828.59528,51561.7332,50707.5487,50426.95576,50646.19814,51067.96231,50776.17521
Jul-10,55759,52443.42628,51744.79384,51662.05762,50796.91246,51355.87731,51618.93169,51712.92176,51768.53305
Aug-10,55061,50833.88355,48752.50817,47629.26787,50044.6326,49226.38345,51963.18217,48396.8386,51953.38823
Sep-10,51564,52727.10517,53575.30498,52394.4126,53380.62172,53526.84086,53765.90904,52583.25359,53675.43224
Oct-10,51545,52403.06226,54127.73787,53670.09748,54989.918,54079.01511,54573.20972,54278.02394,54479.06361
Nov-10,49571,54964.28459,55990.91723,55107.82705,55371.18082,55743.43701,54736.21875,56522.39568,54737.66129
Dec-10,55504,59375.33465,57322.94671,55745.06056,56689.29401,57303.26022,55833.9122,57810.77212,55913.09437
Jan-11,NA,45896.13374,NA,NA,NA,NA,NA,NA,NA
Feb-11,NA,45597.91359,NA,NA,NA,NA,NA,NA,NA
Mar-11,NA,45330.21934,NA,NA,NA,NA,NA,NA,NA
Apr-11,NA,45035.67635,NA,NA,NA,NA,NA,NA,NA
May-11,NA,44752.45711,NA,NA,NA,NA,NA,NA,NA
Jun-11,NA,44461.66825,NA,NA,NA,NA,NA,NA,NA
Jul-11,NA,44182.05883,NA,NA,NA,NA,NA,NA,NA
Aug-11,NA,43894.97626,NA,NA,NA,NA,NA,NA,NA
Sep-11,NA,43609.75907,NA,NA,NA,NA,NA,NA,NA
Oct-11,NA,43335.5071,NA,NA,NA,NA,NA,NA,NA
Nov-11,NA,43053.92519,NA,NA,NA,NA,NA,NA,NA
Dec-11,NA,42783.16874,NA,NA,NA,NA,NA,NA,NA
Jan-12,,,,,,,,,
